screen_name,followers,friends,tweets,place,user_location
Zarren364,285.0,453.0,10200.0,,
CheliMurillo,284.0,260.0,7353.0,,"Modesto, California"
FabroGeri,284.0,339.0,3595.0,,"inland Empire, CA"
Chenniaa,284.0,240.0,1909.0,,"Denair, CA"
arianaadams1002,284.0,1078.0,1987.0,,The Moon
ajr2323,284.0,410.0,11020.0,,
msvanilla8,284.0,519.0,4964.0,,"
"
this_kid_209,284.0,287.0,1475.0,"Modesto, CA",Modesto
lalii_valadez,284.0,184.0,4506.0,,"Turlock, CA"
JairoRamos_15,283.0,185.0,3297.0,,"Ceres,CA"
jasmyne_love,283.0,448.0,866.0,,
Ashl3y_12,283.0,247.0,375.0,,"Modesto, CA"
FugitTaylor,283.0,379.0,10933.0,,"Manteca, CA"
imbimbo72,283.0,250.0,872.0,,
Ivandiaz209,283.0,155.0,18296.0,,"Turlock, CA"
Riffleraffle,283.0,154.0,4384.0,,"Modesto, California"
p3_forlife,283.0,326.0,1712.0,,"Modesto, CA"
cand86,283.0,285.0,7204.0,,"Modesto, California"
JuansDeathMarch,282.0,582.0,7356.0,,"Modesto, CA"
AjPontillo,282.0,571.0,470.0,Stanislaus County Central Jail,"Modesto, California"
em2radd,282.0,227.0,3159.0,,giovanni moraaaa has my heart❤
CachetonaOk,282.0,265.0,18182.0,,con mi charrito
FalconWrestlers,282.0,362.0,2647.0,,Wrestling Room
celestialgardn,282.0,182.0,9818.0,,M.
TurlockStudents,282.0,351.0,78.0,,the dog pound
ATL3100,282.0,235.0,5897.0,,Modesto California
mommavandam,282.0,529.0,11934.0,,Earth
Tova_Dovah,282.0,268.0,6399.0,,Chamber of Reflection
HilaryZwahlen,282.0,198.0,1480.0,,
F2JV,282.0,229.0,87398.0,,
209_Jose,281.0,147.0,22158.0,,"Modesto, CA"
peyton_mykenzie,281.0,209.0,1250.0,,In Allies arms.
Aleeceea,281.0,130.0,17580.0,,
JeseniaaMariexo,281.0,245.0,4109.0,,209
Haimishify,281.0,400.0,11752.0,,"Modesto, CA"
Links_Milk,281.0,328.0,4056.0,"Ceres, CA","Fresno, CA"
PlanItLifeInc,281.0,339.0,541.0,,"Inland Empire, California"
jaakkat,281.0,285.0,3150.0,,CA
6wavyhoes,281.0,259.0,1277.0,"Ceres, CA",my girls heart 
sean35locke,281.0,280.0,4199.0,,"Turlock, CA"
Doof__,280.0,293.0,31624.0,,Berkeley Boyz
Genis8201Rg,280.0,605.0,13247.0,,
DelilahLovett,280.0,1003.0,16980.0,,"Modesto, CA"
daypeecone,280.0,610.0,5795.0,,Under your bed
_edithhuerta,280.0,252.0,15187.0,,
playmoreSO,280.0,1632.0,567.0,,modesto
52AGROVES,280.0,179.0,2226.0,,Doin hood rat activities
babydee209,280.0,788.0,11292.0,,Modesto Ca
_pablo209_,280.0,861.0,6620.0,,"Modesto, Ca"
giftofgab209,280.0,777.0,1044.0,,"Turlock, CA"
repeatkidrauhl,280.0,219.0,5158.0,,empire 
Coolhand1331,280.0,460.0,1380.0,,The Inland Empire California
PandaClawRex,280.0,483.0,1376.0,,"Modesto, California"
Cali_Grown1776,280.0,358.0,7145.0,"Modesto, CA",Northern California
NTMACenters,280.0,185.0,1667.0,,"Los Angeles/Inland Empire, CA"
Puga6203,279.0,89.0,32576.0,,❤ commissions are open ❤
WICP100,279.0,402.0,13176.0,,"Sacramento, CA"
KendallNora,279.0,311.0,4590.0,"Modesto, CA",
Ayce_73,279.0,337.0,3107.0,,"Martinez, CA"
ChapaLucas,279.0,633.0,1871.0,,Ceres
cc_2times,279.0,422.0,6963.0,,"Ceres, CA"
BreeCotruvo8484,279.0,274.0,3238.0,"Turlock, CA",
thatoneguyshow,279.0,170.0,14854.0,,"Modesto, CA"
mherrnandezz,279.0,272.0,1193.0,,"Hesperia, California"
kr00sta,279.0,675.0,5764.0,,Fresno
PotatoHead_60,279.0,266.0,8776.0,,"Modesto, CA"
misslexyyy,279.0,377.0,5778.0,,"Modesto, CA"
manny_walls,279.0,284.0,7099.0,,
Dmoneythoe,279.0,228.0,3062.0,,
nickisnotrad,278.0,714.0,305.0,,"Modesto, CA"
PlayingChello,278.0,261.0,53976.0,,"Vail, AZ"
not_ryandutt,278.0,257.0,9862.0,,"Modesto, CA"
bbyjess__,278.0,146.0,1464.0,,"Modesto, CA"
kiaralancellott,278.0,345.0,365.0,,"Santa Fe, Argentina"
