created_at	id	text	source	quote_from	quote_id	pic_url	retweet_id	reply_id	user_mention0	retweeted_from
Tue Apr 05 14:05:37 +0000 2011	55269865501634560	"Read @RepPaulRyan's @WSJ op-ed: ""This budget is the new House majority's answer to history's call."" http://ow.ly/4trbe #2Futures #jobs"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							WSJ
Mon Apr 04 22:03:57 +0000 2011	55027853288423424	Want to stay up to date with my activities?  Sign up for my newsletter at http://bit.ly/gttgmL. #ca19 #jobs	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Mon Apr 04 21:27:47 +0000 2011	55018751896207360	RT @GOPLeader: When the fed gov borrows nearly 40 cents of each $ spent & averages trillion $ deficits each yr, we must get our fiscal h ...	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"					55008439327404032		GOPLeader
Mon Apr 04 21:06:03 +0000 2011	55013281315815424	"RT @gopconference Washington Democrats defending the status quo? Now THAT'S ""extreme"" VIDEO: http://dld.bz/VcGh #extremespending"	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							GOPConference
Mon Apr 04 20:26:16 +0000 2011	55003273496764416	@PassABill press conference on Senate steps today. 44 days and still waiting for Senate Dems to do their job.  #gop #budget #tcot	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							PassABill
Mon Apr 04 13:45:01 +0000 2011	54902291588857857	@thehill poll: #GOP seen as more reasonable in spending-cut debate. http://bit.ly/eDs64d	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							thehill
Mon Apr 04 13:38:34 +0000 2011	54900672532975616	This week in Congress: #GOP will present #2012budget proposal that cuts more than $4 trillion from federal spending over next decade. #jobs	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							
Fri Apr 01 22:39:42 +0000 2011	53949687916539904	RT @NatResources: .@ABC News Reports: Gasoline Prices Reach Highest Level Ever Recorded in March http://bit.ly/ge5kdH #gasprices	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"					53931167971414016		NatResources
Fri Apr 01 18:55:49 +0000 2011	53893347064020992	Listen to my interview w/ @Fresnomac about rising gas prices. Above $4 in #Fresno. How much are you paying? LISTEN: http://bit.ly/hDotLl	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							Fresnomac
Fri Apr 01 18:36:53 +0000 2011	53888581739085824	#FF Other House GOP Members @BillyLongMO7 @AllenWest @GOPConference @repjefflandry @repdonyoung @RepMcClintock @RepFlores	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"							AllenWest
